stat_id	stat_nm	lat	lon	link_id	dist_m
BNBN0213	서울 성북구 시네마빌딩 주차장	37.5991599	127.0147151	1070009600	51.23
BNBN0257	서울 성북구 삼선동 공영주차장	37.5845742	127.0074695	1070004700	331.03
BNBN0270	중구 중구구민회관 부설주차장	37.5684795	127.0060501	1000005400	149.09
BNBN0274	서울 강서구 등촌2-1공영주차장	37.54978	126.861352	1150009800	248.85
BNBN0279	서울 금천구 독산4동 공영주차장	37.469603	126.90441	1170004800	177.0
BNBN0317	서울 성북구 장위1동 동방고개 공영주차장	37.6146844	127.0409897	1070018700	36.86
BNBN0320	서울 금천구 시흥3동 공영주차장	37.443121	126.905806	1170000200	211.34
BNBN0322	서울 금천구 가산동 공영주차장	37.476801	126.89561	1160003700	178.06
BNBN0325	서울 금천구 가산동 가산디지털 서측노외	37.485481	126.880392	1160003700	38.74
BNBN0326	영등포구 대림3동 공영주차장	37.4978801	126.9004416	1180007700	157.29
BNBN0328	영등포구 영등포제3공영주차장	37.517007	126.9041419	1180018800	155.83
BNBN0329	영등포구 당산1동 공영주차장	37.527239	126.8976589	1140282093	11.99
BNBN0367	서울 성북구보건소	37.602667	127.039569	1005003800	17.55
BNBN0368	서울 성북구 정릉4동 공동주차장	37.6125879	127.0116349	1070020400	289.22
BNBN0380	서울 금천구 시흥1동 공영주차장	37.450903	126.896634	1170000700	227.2
BNBN0381	서울 금천구 시흥2동 공영주차장	37.458441	126.91071	1170002800	655.68
BNBN0382	생각공장 데시앙플렉스	37.5464863	127.0653623	1030001500	87.93
BNBN0410	서울 성북구 장위제일교회	37.617227	127.052798	1070020803	150.33
BNBN0411	서울 성북구 신생중앙교회	37.611515	127.065147	1070018100	147.98
BNBN0413	서울 성북구 벧엘교회	37.612779	127.0058	1070016900	42.36
BNBN0414	영등포구 영등포본동 제1공영주차장	37.5143978	126.9091644	1180016100	91.5
BNBN0416	영등포구 영등포여자고등학교	37.5152429	126.9154013	1180018400	171.15
BNBN0417	영등포구 양평유수지 공영주차장	37.5257776	126.8867429	1180028500	43.11
BNBN0480	서울 성북구 시온성교회	37.602158	127.035463	1070000200	35.88
BNBN0486	서울 아동청소년예술교육센터	37.619369	127.017871	1080002500	77.0
BNBN0507	영등포구 경부 제3녹지 공영주차장	37.5130067	126.9246106	1190006100	79.97
BNBN0543	서울 영등포구 KBS 연구동	37.526994	126.91495	1180033300	65.07
BNBN0560	서울 성북구 영암교회	37.6036145	127.0271581	1005003500	70.66
BNBN0581	서울광진구 구의2동복합청사	37.547454	127.089969	1040003400	265.44
BNBN0582	서울 금천구 견인차량보관소	37.4831701	126.8758006	1170001200	134.4
BNBN0599	구로구 목감교 입구 주차장	37.4916164	126.8616244	1160009500	184.3
BNBN0740	서울 관악구 행운동 제1공영주차장	37.479733	126.960573	1200002000	141.88
BNBN0741	서울 금천구 금하마을 에코에너지센터	37.453111	126.891468	1170014600	79.31
BNBN0743	서울 성북구 BT-IT 융합 센터 앞 공영주차장	37.605317	127.035903	1070014900	100.07
BNBN0819	서울 구로구 구로구청(서울에너지공사)	37.4954703	126.8876391	1160009300	105.25
BNBN0820	구로구 구로3동 주차장	37.4830246	126.8925044	1160004700	110.69
BNBN0821	구로구 구로동 주차장-sk허브	37.4957012	126.8716422	1160001200	30.05
BNBN0822	강서구 서울식물원 제2공영주차장	37.5706297	126.8298909	1150162801	254.53
BNBN0823	관악구 신림동 제1공영주차장	37.4797109	126.9138393	1200003100	214.57
BNBN0824	관악구 난우중학교 공영주차장	37.4665737	126.9224782	1200001000	174.17
BNBN0825	관악구 미성동 제4공영주차장	37.476433	126.9197203	1200002200	200.83
BNBN0826	관악구 남부초등학교 공영주차장	37.4848216	126.9221162	1200005700	188.91
BNBN0827	관악구 당곡중학교 공영주차장	37.4920597	126.9331288	1200010600	508.38
BNBN0828	관악구 보라매 제1공영주차장	37.4885158	126.9345037	1200007000	202.92
BNBN0830	관악구 민방위교육장	37.4692897	126.9112814	1170004800	747.92
BNBN0831	관악구 원신공영주차장	37.4701013	126.9292826	1170002500	378.8
BNBN0832	관악구 삼성동 제2공영주차장	37.4641166	126.9334857	1170002600	280.59
BNBN0833	광진구 자양4동 공영주차장	37.5386773	127.0681886	1040009000	155.4
BNBN0834	광진구 중곡3동마을공원 공영주차장	37.5699599	127.0846592	1060006900	120.7
BNBN0835	구로구 오류1동 텃골공영주차장	37.4954724	126.8391495	1160000700	139.16
BNBN0836	도봉구 방학2동 제6공영주차장	37.6700389	127.0324343	1090011100	303.6
BNBN0837	도봉구 방학2동 제4공영주차장	37.6700059	127.0372827	1090012100	98.5
BNBN0838	도봉구 쌍문2동 제4공영주차장	37.6604346	127.0379437	1090009400	267.13
BNBN0839	도봉구 방학2동 제3공영주차장	37.6681219	127.031607	1090011100	172.23
BNBN0840	도봉구 쌍문1동 제1공영주차장	37.6486904	127.0331174	1090003700	128.39
BNBN0841	도봉구 창2동 제3공영주차장	37.6439135	127.0372498	1090000700	408.03
BNBN0842	동작구 동작동 갯마을 공영주차장	37.4957858	126.9825347	1210021600	48.03
BNBN0843	마포구 상암1공영주차장	37.5771432	126.8971993	1130026700	221.83
BNBN0844	서대문구 남가좌2동 제2공영주차장	37.5831428	126.9229853	1120012600	166.5
BNBN0845	서대문구 남가좌2동 제1공영주차장	37.5767967	126.921928	1120009900	89.86
BNBN0846	서대문구 홍연초등학교 공영주차장	37.5817267	126.9314183	1120011700	271.69
BNBN0847	서대문구 북성초등학교 공영주차장	37.5588696	126.9519444	1120000300	187.55
BNBN0848	서대문구 홍은1동 제1공영주차장	37.5985055	126.9495392	1120013900	179.92
BNBN0849	서대문구 홍은1동 제4공영주차장	37.6013953	126.9490803	1120013900	502.86
BNBN0850	성동구 마장축산물시장 서문 공영주차장	37.5704228	127.0383813	1030020200	54.83
BNBN0851	성동구 금호초등학교 공영주차장	37.5525373	127.0201047	1030012700	154.23
BNBN0852	성동구 홍익동 공영주차장	37.5656467	127.0339432	1030018700	71.38
BNBN0853	성동구 도선동 공영주차장	37.5656329	127.0311235	1030018000	85.28
BNBN0854	성동구 성수1가1동 공영주차장	37.5399504	127.0463608	3201504200	69.13
BNBN0855	성동구 옥수유수지 공영주차장	37.5413918	127.0182628	1020011500	43.17
BNBN0856	성동구 용답동 공영주차장	37.5645642	127.0542955	1030017100	85.49
BNBN0857	성동구 용답동 용답제2공영주차장	37.5630646	127.0561397	1030017100	93.52
BNBN0858	성동구 마장동 공영주차장	37.5700565	127.0350914	1050005600	149.59
BNBN0859	송파구 석촌고분공영주차장	37.5009971	127.1028224	1230017200	278.04
BNBN0860	송파구 삼전동 공영주차장	37.5002619	127.0958353	1230014600	100.17
BNBN0861	송파구 마천동 2공영주차장	37.502617	127.1448216	1230013800	284.28
BNBN0862	송파구 천마공영주차장	37.5002128	127.1548153	1230012500	128.58
BNBN0863	송파구 마천1공영주차장	37.4950907	127.1555745	1230012500	58.25
BNBN0864	송파구 방이고분공영주차장	37.508493	127.1153905	1230022200	9.01
BNBN0865	은평구 봉산도시자연공원지하 공영주차장	37.5976462	126.9039907	1110007500	364.65
BNBN0866	은평구 봉산터널 공영주차장	37.6014611	126.9031404	1110009300	635.93
BNBN0869	은평구 서신초교 지하 공영주차장	37.5921971	126.9075035	3201507100	68.57
BNBN0870	은평구 은평등기소 부지 임시 공영주차장	37.6004784	126.9273839	1110008205	33.15
BNBN0871	종로구 명륜동 와룡공영주차장	37.5885987	126.9954964	1000018900	142.51
BNBN0872	종로구 북악팔각정	37.6015529	126.9806646	1000021200	25.73
BNBN0873	종로구 명륜1가 공영주차장	37.5879477	126.9966408	1000019000	63.8
BNBN0874	종로구 이화공영주차장	37.5765522	127.005564	1000009600	105.25
BNBN0875	종로구 창일 공영주차장	37.5748755	127.0150569	1000012900	53.03
BNBN0876	종로구 창삼 공영주차장	37.576349	127.0125261	1000012900	258.63
BNBN0877	중랑구 까치공원 공영주차장	37.5835656	127.0876489	1060008900	56.43
BNBN0878	중랑구 봉화산역 공영주차장	37.6170335	127.0927031	1060020600	20.89
BNBN0890	성동구 금호동1가 공영주차장	37.5507396	127.0266467	1030011400	72.62
BNBN0891	서대문구 서대문구청 제2부설주차장	37.5817749	126.9370308	1120001300	23.35
BNBN0892	관악구 관악초등학교	37.4806002	126.9433087	1200002900	111.83
BNBN0904	서울 둔촌주공	37.524521	127.13639	1240005900	130.44
BNBN0988	서울 금천구 독산2동 마을공원 공영주차장	37.4638037	126.8993095	1170003000	155.78
