addr	busi_call	busi_id	lat	lng	note	stat_id	stat_nm	year	zcode	zscode
서울특별시 마포구 대흥로 175	1661-7766	EV	37.555721556	126.94394503	외부인 사용불가	EV005017	서울마포 신촌그랑자이2	2022	11	11440
서울특별시 마포구 대흥로 175	1661-7766	EV	37.553558936	126.94347133	외부인 사용불가	EV005018	서울마포 신촌그랑자이3	2022	11	11440
서울특별시 송파구 양산로 15	1661-7766	EV	37.4905949	127.1428172		EV005021	서울송파 송파체육문화회관	2022	11	11710
서울특별시 광진구 자양로5길 33	1661-7766	EV	37.5309217	127.084141	외부인 사용불가	EV005032	서울광진구 YM프라젠스파아파트	2022	11	11215
서울특별시 중구 소월로2길 30	1661-7766	EV	37.5539947	126.9756127	외부인 사용불가	EV005035	서울중구 남산트라팰리스2	2022	11	11140
서울특별시 동대문구 장안벚꽃로5길 10	1661-7766	EV	37.5818753	127.0731573	외부인 사용불가	EV005062	서울동대문 휘경동일하이빌	2022	11	11230
서울특별시 강동구 고덕로80길 134	1661-7766	EV	37.552583489	127.16480233	외부인 사용불가	EV005099	서울강동 고덕숲아이파크1(B3)	2022	11	11740
서울특별시 강동구 고덕로80길 134	1661-7766	EV	37.5517185	127.164857	외부인 사용불가	EV005100	서울강동 고덕숲아이파크2(B3)	2022	11	11740
서울특별시 강동구 고덕로80길 134	1661-7766	EV	37.5517185	127.16299886	외부인 사용불가	EV005101	서울강동 고덕숲아이파크3(B2)	2022	11	11740
서울특별시 강동구 고덕로80길 134	1661-7766	EV	37.551688457	127.16047170	외부인 사용불가	EV005102	서울강동 고덕숲아이파크4(B2)	2022	11	11740
서울특별시 광진구 워커힐로 177	1661-7766	EV	37.5586287	127.1117068	외부인 사용불가	EV005104	서울광진 그랜드워커힐서울호텔	2022	11	11215
서울특별시 성북구 월곡로14길 26	1661-7766	EV	37.600234	127.0426519	외부인 사용불가	EV005105	서울성북 월곡래미안루나밸리2	2022	11	11290
서울특별시 종로구 송월길 99	1661-7766	EV	37.570109296	126.96406041	외부인 사용불가	EV005111	서울종로 경희궁자이2단지1	2022	11	11110
서울특별시 종로구 송월길 99	1661-7766	EV	37.570433201	126.96260003	외부인 사용불가	EV005112	서울종로 경희궁자이2단지2	2022	11	11110
서울특별시 종로구 송월길 99	1661-7766	EV	37.569316327	126.96375517	외부인 사용불가	EV005113	서울종로 경희궁자이2단지3	2022	11	11110
서울특별시 종로구 경교장길 35	1661-7766	EV	37.567969958	126.96583290	외부인 사용불가	EV005115	서울종로 경희궁자이3단지 303동	2021	11	11110
서울특별시 종로구 경교장길 35	1661-7766	EV	37.568379807	126.96547615	외부인 사용불가	EV005116	서울종로 경희궁자이3단지 302동	2021	11	11110
서울특별시 광진구 광나루로56길 29	1661-7766	EV	37.5369577	127.0965367	외부인 사용불가	EV005123	서울광진 현대프라임1	2022	11	11215
서울특별시 광진구 광나루로56길 29	1661-7766	EV	37.536339457	127.09682337	외부인 사용불가	EV005124	서울광진 현대프라임2	2022	11	11215
서울특별시 광진구 광나루로56길 29	1661-7766	EV	37.536760167	127.09744055	외부인 사용불가	EV005125	서울광진 현대프라임3	2022	11	11215
서울특별시 광진구 광나루로56길 29	1661-7766	EV	37.537622764	127.09757462	외부인 사용불가	EV005126	서울광진 현대프라임4	2022	11	11215
서울특별시 광진구 광나루로56길 29	1661-7766	EV	37.538079799	127.09784394	외부인 사용불가	EV005127	서울광진 현대프라임5	2022	11	11215
서울특별시 중랑구 공릉로18길 59	1661-7766	EV	37.6186495	127.0814315	외부인 사용불가	EV005128	서울중랑 브라운스톤태릉아파트	2022	11	11260
서울특별시 중랑구 숙선옹주로 45	1661-7766	EV	37.6156214	127.0827355	외부인 사용불가	EV005142	서울중랑 e편한세상아파트	2022	11	11260
